daily_pnl,impact_cost,max_abs_impact,final_position,total_abs_traded,net_traded,avg_price,traded_notional,model_type,stock,date,lambda_hat,ADV,sigma,half_life_seconds,impact_cost_bps,pnl_bps
-116761.85885565709,73701.25283568975,0.2191123538292381,8.131394224619726e-09,494688.93333333347,0.0,36.44128939101673,18027102.57813339,ow,AAL,2019-02-01,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,40.8835821043634,-64.77017499045438
-57742.297167078264,74465.29427677377,0.22138383378565388,8.131394224619726e-09,494688.93333333347,0.0,36.73474426877614,18172271.458593655,ow,AAL,2019-02-04,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,40.97742786114896,-31.774947506505562
-94633.5473048018,75692.0595198657,0.22503098237088937,8.131394224619726e-09,494688.93333333347,0.0,37.05982800833741,18333086.78696123,ow,AAL,2019-02-05,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.287133148629955,-51.61899270127637
-92535.07791357065,75660.2383213967,0.22493637858289472,8.131394224619726e-09,494688.93333333347,0.0,36.88979438813941,18248973.036754675,ow,AAL,2019-02-06,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.45999786892765,-50.70700566393446
-96448.96410596534,74951.04340593763,0.2228279562525932,8.131394224619726e-09,494688.93333333347,0.0,36.449304368516415,18031067.498803396,ow,AAL,2019-02-07,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.5677238249547,-53.49043483552265
-27676.218155373885,73659.86463771803,0.2189893075426498,8.131394224619726e-09,494688.93333333347,0.0,35.95290999154159,17785506.693945054,ow,AAL,2019-02-08,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.415668333359875,-15.561107497036366
-60831.84379692353,74160.40994541922,0.22047741875309423,8.131394224619726e-09,494688.93333333347,0.0,36.54441557586438,18078117.960514408,ow,AAL,2019-02-11,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.02219606454488,-33.64943404495441
-166198.82277869247,75547.78918879767,0.2246020695558181,8.131394224619726e-09,494688.93333333347,0.0,36.855285934417005,18231902.086591758,ow,AAL,2019-02-12,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.4371406943643,-91.15824667625856
-80865.65038438032,73693.862564243,0.2190903826997141,8.131394224619726e-09,494688.93333333347,0.0,36.30135172012587,17957876.960987236,ow,AAL,2019-02-13,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.0370684264849,-45.030740860992466
-76546.67784438246,73834.01294316775,0.21950704697928508,8.131394224619726e-09,494688.93333333347,0.0,36.28902006152754,17951776.625948995,ow,AAL,2019-02-14,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.12908403530484,-42.64016840190374
-165194.93812659784,74494.54856251557,0.22147080619333834,8.131394224619726e-09,494688.93333333347,0.0,35.890162103917625,17754466.008347437,ow,AAL,2019-02-15,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.958202813585736,-93.0441602968683
-18213.052410372213,72031.6688195369,0.21414871386899886,8.131394224619726e-09,494688.93333333347,0.0,35.790904765833766,17705364.501645226,ow,AAL,2019-02-19,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,40.683527759535,-10.2867424213039
-84235.23067824164,71963.08966303003,0.21394482940533383,8.131394224619726e-09,494688.93333333347,0.0,35.21347001445483,17419713.920415983,ow,AAL,2019-02-20,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.31129247690398,-48.35626524240308
-117857.21922441179,72130.47176615073,0.2144424530574776,8.131394224619726e-09,494688.93333333347,0.0,35.12004007066377,17373495.16118059,ow,AAL,2019-02-21,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.517536394932996,-67.83736843450617
-48576.07814392287,72001.2565445143,0.21405829878229252,8.131394224619726e-09,494688.93333333347,0.0,35.47856958909002,17550855.746219385,ow,AAL,2019-02-22,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.02435663857816,-27.677327445635576
-88682.62931110422,73579.87999005968,0.2187515147814101,8.131394224619726e-09,494688.93333333347,0.0,36.09954063712661,17858043.251603488,ow,AAL,2019-02-25,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.20265527044957,-49.659768464913604
-26310.196318683116,73783.89027328047,0.21935803328200518,8.131394224619726e-09,494688.93333333347,0.0,36.47938239631156,18045946.766290147,ow,AAL,2019-02-26,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,40.88668288167007,-14.579559975113414
-53961.12297398174,74131.06365273899,0.220390172810618,8.131394224619726e-09,494688.93333333347,0.0,35.716215838115154,17668416.715660296,ow,AAL,2019-02-27,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.95682320931075,-30.541006498988455
-63940.16764667357,73637.66076013917,0.21892329585772927,8.131394224619726e-09,494688.93333333347,0.0,35.572018510016996,17597083.893233903,ow,AAL,2019-02-28,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,41.846513437634364,-36.33566108715242
-1302376.4460093929,694590.1763325065,0.8603223827803252,1.8451487449056003e-08,1187385.1238095239,0.0,167.3487260611856,198707387.81352696,ow,AAPL,2019-02-01,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.9554278769107,-65.54242699982461
113572.67980726917,696301.2905361946,0.8624417761997644,1.8451487449056003e-08,1187385.1238095239,0.0,170.56872292483223,202530764.18813428,ow,AAPL,2019-02-04,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.380025835946014,5.6076754690842705
-739434.1442763308,719099.74372071,0.8906800384668349,1.8451487449056003e-08,1187385.1238095239,0.0,173.97220458086406,206572007.67566508,ow,AAPL,2019-02-05,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.811093323435934,-35.79546680096671
-701290.7218193425,727131.9500409416,0.9006287637956203,1.8451487449056003e-08,1187385.1238095239,0.0,174.24460264157946,206895449.08071312,ow,AAPL,2019-02-06,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,35.14489822138505,-33.895898867536616
-1579354.9860516519,717708.9310821983,0.8889573719449971,1.8451487449056003e-08,1187385.1238095239,0.0,171.4375629267993,203562411.88144064,ow,AAPL,2019-02-07,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,35.257438956864405,-77.58578666141489
-343424.21127829095,702922.5688428069,0.8706429200165026,1.8451487449056003e-08,1187385.1238095239,0.0,169.721283751834,201524527.52078274,ow,AAPL,2019-02-08,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.88024894489908,-17.041310827183278
-946148.1853778533,712333.4556635945,0.8822992849488224,1.8451487449056003e-08,1187385.1238095239,0.0,170.39620550017614,202325919.5644997,ow,AAPL,2019-02-11,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,35.20722689395755,-46.76356778283317
-603573.0642312039,708359.1914120265,0.8773767441366831,1.8451487449056003e-08,1187385.1238095239,0.0,170.53720534266077,202493340.67992544,ow,AAPL,2019-02-12,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.98185120723089,-29.80705746690465
-1057528.951986113,713457.6179465009,0.8836916771922144,1.8451487449056003e-08,1187385.1238095239,0.0,171.14523443356327,203215305.37730652,ow,AAPL,2019-02-13,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,35.108458815237164,-52.039827906791594
-532811.5999045587,705732.5643644172,0.874123392567264,1.8451487449056003e-08,1187385.1238095239,0.0,170.99890226030024,203041552.73163927,ow,AAPL,2019-02-14,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.75803621819158,-26.241505383323073
-990068.2367226087,712520.1396126209,0.8825305124918048,1.8451487449056003e-08,1187385.1238095239,0.0,170.61165502739513,202581741.12805134,ow,AAPL,2019-02-15,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,35.17198221542775,-48.872530723131135
-338918.33857935,706531.1755171677,0.8751125557792704,1.8451487449056003e-08,1187385.1238095239,0.0,170.43826189433057,202375856.70127976,ow,AAPL,2019-02-19,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,34.91183123489156,-16.746974866652007
